"","SYMBOL","ENTREZID","R"
"561","ZDHHC17","23390",0.35169618884482
"562","ZDHHC16","84287",0.361909151866233
"563","ZDHHC15","158866",-0.365679707346383
"564","ZDHHC14","79683",0.466030596983217
"565","ZDHHC13","54503",0.469051320280835
"566","ZDHHC12","84885",-0.0362800938641991
"567","ZDHHC11","79844",0.226399202880559
"568","ZDHHC1","29800",-0.0236484212954178
"570","ZCWPW2","152098",-0.187856503096401
"571","ZCWPW1","55063",0.354480683532258
"574","ZCRB1","85437",0.278841473476798
"576","ZCCHC9","84240",0.145518609006665
"577","ZCCHC8","55596",0.296354761655435
"578","ZCCHC7","84186",0.212747328238137
"581","ZCCHC3","85364",0.235546603044184
"582","ZCCHC2","54877",-0.434284866893223
"583","ZCCHC17","51538",0.2687223233136
"585","ZCCHC14","23174",0.518238554635436
"586","ZCCHC13","389874",0.0742272758812916
"587","ZCCHC12","170261",-0.0106416581917845
"589","ZCCHC10","54819",-0.268867408025411
"590","ZC3HC1","51530",0.324270580188694
"591","ZC3HAV1L","92092",-0.383271204534564
"592","ZC3HAV1","56829",0.315401997433181
"593","ZC3H8","84524",0.169813158673519
"594","ZC3H7B","23264",0.0344937911130025
"595","ZC3H7A","29066",-0.131324313154929
"596","ZC3H6","376940",-0.04854583016013
"597","ZC3H3","23144",0.0550123157594267
"598","ZC3H15","55854",-0.0637728535346846
"599","ZC3H14","79882",0.333836114555207
"600","ZC3H12B","340554",0.374411291148101
"601","ZC3H12A","80149",0.511421718663304
"602","ZC3H11A","9877",-0.0199090601306436
"603","ZC3H10","84872",0.421829014456426
"604","ZBTB9","221504",0.388858523258864
"605","ZBTB8OS","339487",-0.101649409857032
"607","ZBTB7B","51043",-0.127982816631048
"608","ZBTB7A","51341",-0.112062317652473
"609","ZBTB5","9925",0.216775624875863
"610","ZBTB44","29068",-0.624192752017344
"611","ZBTB41","360023",-0.101257521332698
"612","ZBTB40","9923",0.104883919777425
"613","ZBTB4","57659",0.23027657304996
"614","ZBTB39","9880",0.220576563506385
"615","ZBTB38","253461",0.318619718811229
"616","ZBTB37","84614",0.365686198621103
"617","ZBTB33","10009",0.357185742320301
"618","ZBTB32","27033",-0.105463570529894
"619","ZBTB3","79842",-0.108765079566838
"620","ZBTB26","57684",0.435142843695424
"621","ZBTB25","7597",0.291528667919165
"622","ZBTB24","9841",0.304217657250679
"623","ZBTB20","26137",0.181656522135143
"624","ZBTB2","57621",-0.24920986572714
"625","ZBTB17","7709",0.17214418377072
"626","ZBTB16","7704",0.239224845776682
"627","ZBTB12","221527",-0.106339451728355
"628","ZBTB11","27107",-0.230677636264346
"629","ZBTB10","65986",-0.0256501537437745
"630","ZBTB1","22890",-0.381816849216328
"631","ZBP1","81030",0.136333752755599
"632","ZBED5","58486",-0.0289466991920748
"633","ZBED4","9889",0.447176526904604
"634","ZBED3","84327",-0.33434945968373
"635","ZBED2","79413",0.0757606241533691
"636","ZBED1","9189",0.0507812640242233
"637","ZAR1","326340",0.277482244239942
"638","ZAP70","7535",0.226179986454802
"639","ZAN","7455",-0.125691700135247
"644","YY2","404281",-0.00060040999791695
"645","YY1AP1","55249",-0.276456578332735
"646","YY1","7528",-0.359028932079426
"647","YWHAZ","7534",0.357898791340524
"648","YWHAQ","10971",0.214961556439708
"649","YWHAH","7533",0.290384043407768
"650","YWHAG","7532",-0.266709903923858
"651","YWHAE","7531",-0.252856520881325
"652","YWHAB","7529",0.232346227867163
"653","YTHDF3","253943",-0.204819182451471
"654","YTHDF2","51441",-0.128571968224844
"655","YTHDF1","54915",0.315369463759872
"656","YTHDC2","64848",0.421000451443609
"657","YTHDC1","91746",0.263741491372258
"659","YRDC","79693",0.0198273512530076
"660","YPEL5","51646",0.00913036621222517
"661","YPEL4","219539",-0.0658406808535622
"662","YPEL3","83719",-0.504216617690593
"663","YPEL2","388403",0.29217865315367
"664","YPEL1","29799",0.160137349996637
"665","YOD1","55432",-0.325876966193785
"666","YME1L1","10730",0.322100420507484
"667","YKT6","10652",0.196739539819554
"668","YIPF6","286451",-0.0478687230657415
"669","YIPF5","81555",-0.314959503867115
"670","YIPF4","84272",-0.299362025423256
"671","YIPF3","25844",-0.35836492107741
"672","YIPF2","78992",-0.381377287660238
"673","YIPF1","54432",0.0457820751429577
"674","YIF1B","90522",-0.0701767595086592
"675","YIF1A","10897",0.0245059151492981
"676","YES1","7525",-0.0524962700864349
"677","YEATS4","8089",0.0334623975157547
"678","YEATS2","55689",0.27884564639748
"679","YBX2","51087",0.0267060056335654
"680","YBX1","4904",-0.667717835858876
"681","YARS2","51067",0.0602672700827222
"683","YAP1","10413",-0.126718383012713
"684","YAF2","10138",0.110926358133713
"685","XYLT2","64132",0.2158588692111
"686","XYLT1","64131",-0.180690209703651
"689","XRN2","22803",-0.256066664205475
"690","XRN1","54464",-0.0515893019671363
"691","XRCC6","2547",0.138349958831774
"692","XRCC5","7520",0.0249524472348857
"693","XRCC4","7518",-0.203491650265464
"694","XRCC3","7517",0.314898402760695
"695","XRCC2","7516",-0.277259087450776
"696","XRCC1","7515",-0.068554801600938
"697","XPR1","9213",-0.173298894238593
"698","XPOT","11260",0.322881697424689
"699","XPO7","23039",-0.211023333180546
"700","XPO6","23214",0.0398046677703573
"701","XPO5","57510",0.0582036941366906
"702","XPO4","64328",-0.17822850198095
"703","XPO1","7514",0.235030355468967
"704","XPNPEP3","63929",-0.24220274147558
"705","XPNPEP2","7512",-0.328357029614513
"706","XPNPEP1","7511",0.0301918400306885
"707","XPC","7508",0.117371603904287
"708","XPA","7507",0.0572206821213337
"711","XKRY","9082",-0.227535611820973
"712","XKRX","402415",0.140875646753369
"713","XKR9","389668",-0.249619453800973
"714","XKR8","55113",-0.303235689356241
"715","XKR7","343702",-0.119459040378683
"716","XKR6","286046",0.0454483960939695
"717","XKR5","389610",-0.445269245947017
"718","XKR4","114786",-0.391666604804505
"719","XKR3","150165",0.178915776717741
"720","XK","7504",-0.182959494087326
"721","XG","7499",-0.137071663015656
"722","XDH","7498",-0.0402235322023698
"723","XCR1","2829",-0.416133395137804
"724","XCL1","6375",-0.288431881973475
"725","XBP1","7494",0.276756011050556
"726","XAGE5","170627",-0.312650624012649
